sample_name,haplotype,file_num,datatype,long_read_url
HG00438,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00438/analysis/aligned_reads/hifi/GRCh38/HG00438_aligned_GRCh38_winnowmap.sorted.bam
HG00621,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00621/analysis/aligned_reads/hifi/GRCh38/HG00621_aligned_GRCh38_winnowmap.sorted.bam
HG00673,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00673/analysis/aligned_reads/hifi/GRCh38/HG00673_aligned_GRCh38_winnowmap.sorted.bam
HG00735,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00735/analysis/aligned_reads/hifi/GRCh38/HG00735_aligned_GRCh38_winnowmap.sorted.bam
HG00741,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG00741/analysis/aligned_reads/hifi/GRCh38/HG00741_aligned_GRCh38_winnowmap.sorted.bam
HG01071,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01071/analysis/aligned_reads/hifi/GRCh38/HG01071_aligned_GRCh38_winnowmap.sorted.bam
HG01106,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01106/analysis/aligned_reads/hifi/GRCh38/HG01106_aligned_GRCh38_winnowmap.sorted.bam
HG01175,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01175/analysis/aligned_reads/hifi/GRCh38/HG01175_aligned_GRCh38_winnowmap.sorted.bam
HG01258,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01258/analysis/aligned_reads/hifi/GRCh38/HG01258_aligned_GRCh38_winnowmap.sorted.bam
HG01358,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01358/analysis/aligned_reads/hifi/GRCh38/HG01358_aligned_GRCh38_winnowmap.sorted.bam
HG01361,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01361/analysis/aligned_reads/hifi/GRCh38/HG01361_aligned_GRCh38_winnowmap.sorted.bam
HG01891,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01891/analysis/aligned_reads/hifi/GRCh38/HG01891_aligned_GRCh38_winnowmap.sorted.bam
HG01928,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01928/analysis/aligned_reads/hifi/GRCh38/HG01928_aligned_GRCh38_winnowmap.sorted.bam
